location,title,salary_range,description,requirements,benefits,fraudulent
"US, IL, Chicago",Adminstrative/Data Entry,0.0,We are a network of national standards bodies. These national standards bodies make up the ISO membership and they represent ISO in their country.,"No requirements, Apply if you are in the force as well,","The job includes benefits such as health, dental, life, and AD&amp;D insurance, employee wellness and 401 k plans. All holidays are paid and employees enjoy generous company discounts.",1
"US, NY, New York ", Content Director ,,"DBA is looking for a talented Content Director to join our growing Content Services team for our New York Headquarters. The department is focused on content strategy, branded content creation, multimedia production and community engagement that helps our clients create stories and campaigns that will travel across multiple online platforms ultimately driving clear impact and ROI. The ideal candidate must be expert in all things related to content and channel optimization, brand consistency, content segmentation and localization, analytics and meaningful measurement. S/he will be responsible for leading the content team, creating appropriate content marketing strategies for multiple platforms and channels across various brand categories and industries as well as daily tasks including writing and editing branded content, overseeing editorial calendars, assignments and content performance.  DBA works with some of the top brands in the world to develop winning content marketing strategies and campaigns across multiple industries and brands. ","SPECIFIC RESPONSIBILITIESUltimately, the job of the Content Director is to think like a publisher/journalist, leading the development of content initiatives in all forms to drive new and current business.This includes:Mapping out content strategies that supports and extends brand and marketing initiatives, both short-and long-term, determine which methods work for the brand and why. Continuous evolvement of strategy is a mustEnsure all content is on-brand, consistent in terms of style, quality and tone of voice, and optimized for search and user experience for all channels of content including, online, social media, social networks, email, mobile, video, print, etc.Conduct competitive content audits and develop brand voice guidelinesDevelop standards, systems and best practices for content creation, distribution, maintenance and content repurposing, including the real-time implementation of content strategiesSupervise and mentor content team; be an arbiter of best practices in grammar, messaging, writing and style across the agencyIntegration of content activities within traditional marketing campaignsContribute to and guide the management of DBA Twitter, Instagram, Linkedin and Blog propertiesResearch industry trends including social media tools, platforms, vendors and best in class campaignsTrack metrics related to branded contentBrainstorm custom content programsWork closely with all divisions of the agency as well as the agency partnersA strong knowledge and understanding of social media and the digital space is must ADDITIONAL REQUIRMENTS8+ years editorial or agency experience, either as a writer or editor5 + years working directly in the social media and digital spaceExperience creating content strategies and working with brands to develop branded contentExcellent writing and copy skills with a strong grasp of grammar and AP styleClear articulation of the business goal behind the creation of contentAttention to detail and a high level of organizational skills (Remove similar Brainstorm above)Excellent writing and communication skillsAbility to multi-task and work in a fast-paced environment with quick deadlinesHard worker with the commitment to perform tasks on deadlineStrong social media experience and familiarity with social media channels like Twitter, Facebook, Pinterest, Instagram, Tumblr, LinkedIn, Google + etc.Vast knowledge of social media trends and ability to write across them ABOUTDigital Brand Architects is a transformative boutique agency that expertly navigates the digital landscape through a two-pronged business model: one that tackles digital strategy and social media innovation for some of the world’s most venerable brands and companies, and the other that specializes in the talent management of a world-class portfolio of over 90 top online influencers and publishers. DBA is best heralded as the first and only agency to have a dedicated management division for online talent and for pioneering a monetization model that leverages a digital publisher’s influence online and builds them into prominent brands offline.",,0
"US, OH, Cincinnati",Church Administrator/ Secretary,,"Description of the Church Administrative AssistantThe Church Administrative Assistant serves under the direct supervision of the Senior Pastor, to manage all activities of the main church office and perform administrative duties related to the church’s operation. This is a full time position. Canidates for this postion should be of a Pentacostal or Baptist background and the church is apart of the Full Gospel Church Fellowship Organization.","Qualifications of the Church Administrative AssistantThe Church Administrative Assistant must be a professing Christian.The Church Administrative Assistant must hold an active membership, attend regularly and be in good standing with a local church.The Church Administrative Assistant must have a minimum of five years experience in secretarial work.The Church Administrative Assistant must have strong communication, computer and organizational skills.The Church Administrative Assistant must be proficient in the use of standard office tools (copy machine, fax machine, etc.).The Church Administrative Assistant must demonstrate a high level of trust (A violation of trust will result in immediate dismissal.).The Church Administrative Assistant should always exhibit professionalism, demonstrated by well-groomed appearance, conscientious work ethic, teaching ability and accountability.The Church Administrative Assistant should be willing and able to work at a fast pace within a variety of settings and circumstances, with composure and flexibility.The Church Administrative Assistant should be ever conscious of the need for confidentiality.The Church Administrative Assistant should exercise discernment and wise judgment.The Church Administrative Assistant should be a self-starter, good at multi-tasking and prioritizing projects.The Church Administrative Assistant should possess the ability to work independently without supervision.Responsibilities of the Church Administrative AssistantCommunicationAct as receptionist in making appointments and receiving visitors.Screen and route all incoming calls.Check and respond to all emails as soon as possible.As soon as information is received, send email notifications to all staff and Chairman of Deacons. This includes, but not limited to, deaths (when arrangements are known), hospitalizations, surgeries, outcome of surgeries, serious accidents, births, etc.Participant in weekly staff meetings.Route incoming faxes to appropriate staff.DocumentationDistribute mail to appropriate personnel.Generate and prepare weekly bulletin.Continuously update Prayer Sheet and generate copies for Wednesday night services.Prepare cards for Wednesday night outreach.Type correspondence and other items for Pastor.Serve as secretary to Church Council and at monthly business meetings (take minutes).Generate and make copies of monthly Church Council reports.Maintain file of all invoices, correspondence, and reports.Send and receive all church membership letters.Keep computer databases and mailing lists up to date.Generate and disseminate quarterly Grounds Security schedule.Prepare certificates for special occasions.Make reservations for use of church facilities.Submit daily timesheet.Maintain a current list of key holders and provide keys to personnel as needed. Collect keys upon departure.Accurately track church items on loan.Keep track of PTO used and available for all church staff.FinancialPost weekly deposits.Post weekly church contributions.Pay all bills for the church.Submit weekly time worked for all employees to the church accountant for weekly payroll checks.Complete and submit monthly, quarterly, and annual government reports, with payment.Reconcile all banking accounts monthly.Generate and make copies of financial reports for Finance Committee and monthly business meetings.Generate and mail yearly church contribution report to members.Other ResponsibilitiesSet up meetings and other appointments for Pastor.Coordinate travel arrangements, when necessary.Purchase and maintain all office supplies.Recruit, schedule, and train volunteer office help.Other duties as assigned.",Weekly competitive pay and Fulltime benefits after 90 days.,1
"IN, DL, New Delhi",PHP Developer,,"If you are someone who loves to learn new things; design, develop and implement stunning web-based solutions; we need you!Classic Informatics Pvt. Ltd. (#URL_247fb733f3b02cba132bfbf91e49ead399891f411b50404e299254f6975c0f25#) is looking for an awesome PHP developer who creates ridiculously fast web applications and is willing to join our rollercoaster immediately.Understanding client’s short and long term goals and recommending solutionsCoordinate requirements and expectations with clientsProvide feedback on feature requirementsCoordinate development plans with architecture teamCoordinate test plans with quality assurance teamCoordinate as necessary with mobile development teamProvide estimates for development time requirementsRespond to any technical inquiries from the clientsMaintain local development environmentKeeping up to date on the latest and the greatest technologiesSetting up, configuring and optimizing enterprise level software and serversDeveloping custom modules for integration into ERP, accounting, fulfillment and marketing systemsIntegrating user interface designs, flows and processesWork within deadlines","A University Degree (preferably in Computer Science)Proficiency with PHP (5.3+) in an object-oriented, MVC contextBasic MySQL skills, including the ability to write and execute queries that store, retrieve, and update data or table structuresIntermediate JavaScript skills, including the ability to write functional, cross-browser scriptsWorking knowledge of any MVC based framework.Strong verbal and written communication skillsStrong sense of personal responsibilityStrong willingness to work as a member of teamStrong time management skillsGood prioritization skills",,0
"US, MD, Rockville",Property Preservation Field Crews,,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior," **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you!",As per job,1
"US, CA, San Francisco",Director of Engineering | Applications,,"Director of Engineering | Applications | San Francisco, CAOur team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best product possible product and experience for our #URL_7a887988d8390684a7285e6db8b8422abc28a490e39cff05706d2b63ebd11fda# you will do:Lead and inspire a team of world-class engineersDrive cross-functional collaboration with the Product, Design, and Reliability teams to build high quality, robust products. These core products enable our customers to make critical business operations and risk management decisions with clarity and comfort.Motivate and provide necessary tools for engineers to work with the confidence to create simple solutions to complex problems.Leverage massive datasets that power the advanced technologies to make a real world difference.Fearlessly drive an efficient and effective Agile software development process to manage a deep backlog and launch iteratively developed products.Ensure stability of the product through robust, scalable and fault tolerant software development practicesAct as an active source of engineering talent and work with recruiting teams to build and scale the future of engineering.Align the team’s goals and objectives towards the “Bigger Picture” o ","What you bring to the table:BS / MS in computer science or related engineering field10+ years of professional work experience, at least 3+ years managing a dynamic engineering team of at least 15 engineersAt least 3 years experience at a start upMultiple proof points of success delivering successful products from concept to launchDemonstrated ability to grow and lead a team of engineers in a fast paced startup environmentProven ability to build world class products using Agile/Scrum or similar development/management practicesDeep understanding of the user experience essential to delivering a successful web-based applications and the technologies required to build itAbility to architect, perform design and code reviews for consumer-facing applications on web platformsGenuine passion for working with big data and open source technologies to make a real world difference.","What We Offer: Competitive salary, excellent benefits, and some of the best perks in the industry, including:Stock options. Our success is your success The opportunity to learn business and sales operations skills at a company experiencing explosive growthWe provide meals and a large assortment of snacks, drinks, fruits,coffees, and teas to help you get through the daySpend 25% of your time (2 solid weeks out of 8) exploring personallycompelling topics through independent research/development workCompany sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc.We sponsor hackathons, meetup groups, networking events, tech-talks,and conference trips. If you want to get involved in the techcommunity, we'll support your effortsWe encourage all employees to better understand our customers bygetting out of the office and hearing firsthand from the agents our products serveEnergetic idea-driven work environment with an exciting cultureExciting world-changing opportunity - we are solving problems that have a massive impact on the worldA driven, talented team that aims to make a large-scale impact through an innovative technology platform Interested/qualified candidates please apply directly to posting.  You may follow up with VP of Recruitment, Darren Lawson | #EMAIL_919f03e996c88a8063f7bce7d468d464d1dc1faf8c4e57050d6e78ed7942eff9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66#",1
"US, MD, Bethesda",Optician / Sales,,"We are a long term well established Optometric practice that is looking for a proactive strong sales expert for a busy optical practice.To apply for this position, please submit your application via this link: #URL_dc6a4e8df8c88cf7bb611c27fadf835b2ea6d40cec837463b39bb6ba9bca8852#?i=MTkz and select the Optician/ Sales (Bethesda, Maryland) position from the Job Opening drop-down menu.",The ideal person should be highly self motivated with a strong commitment to customer service. Prefer a candidate with optical experience  however will be willing to train the right candidate.,"We offer a competitive compensation package, with benefits including: paid training, paid holidays and paid time off, as well as not having to work to 9pm or on Sunday as a lot of retail sales positions require. ",1
"US, CA, Bakersfield",Project Manager: Engineer,,"We are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs.Essential Duties and Responsibilities:* Develop budget and schedule in alignment with the scope.* Able to understand and comprehend the major process steps involved in the project.* Adequate knowledge in project deliverables like Process Flow Diagram, PID, Area classification drawing, electrical one line drawing, etc.* Able to develop the project execution plan.* Interface with the client and develop rapport.* Request appropriate resources to execute the project work.* Manage the project personnel.* Effective communication skills - with the client and inter discipline personnel within the company.* Project tracking/monitoring - budget and schedule with the help of project control personnel.* Perform engineering calculations to support the project* Follow and implement standard project procedures per ProU Project Procedure Manual* Ability to relate project drawings with field construction.* Soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully.* Ability to control the quality of project deliverables.","Qualifications:Managed small to mid-size engineering projects.10 to 15+ years experience as a Mechanical, Chemical, or Process Engineer required.Five+ years experience as a Project Manager/Project Lead required.Oil &amp; Gas Upstream experience involving production surface facilities &amp; treatment (May have gas process plant experience).Familiarity with process industry standards and applicable codes like ASME, API, ANSI, NACE, etc.Must possess a minimum of a Bachelor's Degree in Mechanical or other Engineering field from an accredited university. Experience Preferred:PE registration in California preferred.PMP registration a plus.","What is Offered:* Clean, safe, enjoyable environment to work in with a great company culture that values work/life balance.* Competitive base rate + Incentives + Full Benefits Package + Retirement 401K 100% matched by company.* Relocation Assistance. * Signing Bonus.* Opportunity for Advancement.* Trips, outings, rafting trips, lunches, client appreciation get-togethers, company parties, great people, great culture!",1
"GR, I, Athens",Customer Support and Testing Internship,0.0,"Megaventory is offering non-paid work experience to a senior year IT oriented student in the dynamic environment of a mature technology startup. Megaventory Inc. is developing a unique ERP software as a service covering the inventory and order management, reporting, manufacturing and business intelligence needs of small and medium-sized businesses. Megaventory is already being used by hundreds of companies in more than 20 countries in the world.You will be requested to:Provide customer support to Megaventory Clients (handle email, answer questions, provide advice on optimal use, etc)Software testing before it goes live and becomes available to the companies using Megaventory",Must have: • Excellent English both written and spoken• Familiar with internet technologies and toolsNice to have:• Programming skills,"You will acquire skills and experience, cooperate with other professionals in the B2B software industry and use our state of the art toolset all in a pleasant work environment (5' from Metro Station Katechaki).We offer flexible working hours and the ability to partly work from home. Coffee is free :PIf you are interested in connecting your internship with a diploma project, we'll be happy to accommodate it and provide guidance and advice. As we are growing our business we are interested in expanding our team and you'll be the first candidate on our list.(Note: this is a non-paid internship)",0
"US, FL, ",Network Marketing,686400.0,"Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts.","An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business","Residual Income, Travel dollars, Car Dollars, the ability to rise in pay grade rapidly as long as you put in the work you will see results",1
