title,salary_range,description,requirements,benefits,has_company_logo,fraudulent
Project Engineer,,"JOB DESCRIPTION: PROJECT ENGINEERDesign and install minor and major capital projects. Prepare specifications, drawings, bid packages, quotation analysis and other applicable documents for purchase, construction, and repair of refinery facilities. Supervise the activities of contract engineering and construction personnel.Lead projects from the feasibility phase through design, construction, startup, and close out phases. The Project Engineer will be responsible for completing the projects on time, within the budget, and adherence to the design specifications.Provide timely and accurate engineering designs. Apply good safety and environmental practices in all engineering recommendationsB.S. in Mechanical Engineering required with 3 to 10 years experience in Refining or Petrochemical sectors. Excellent wage/benefit package available.",B.S. in Mechanical Engineering required with 3 to 10 years experience in Refining or Petrochemical sectors. ,Excellent wage/benefit package available.,1,1
PT / FT Drivers,30000.0,"Join Breeze (#URL_c5149a9c2c58a67c63099cb3468e5ec93d4fb7e5c632149776e539bbc767d410#) and make $35 / hr (or $1,850 / week) working on your own schedule. Thousands in the SF Bay Area have started ridesharing as a primary source of income. With a Breeze car, now you can get paid too!Highlights:- Earn up to $35 / hr and set your own hours- The car stays with you 24 / 7 - use it for ridesharing or personal use- Get paid via weekly direct deposits- Perfect for drivers, freelancers, artists and entrepreneursRequirements:- 21 or older with CA driver's license- iPhone or Android- 1+ year US driving experience and clean driving record- Friendly, professional and reliableBenefits:- Save $300 / month on gas with a new hybrid from Breeze- Return the car anytime with two weeks noticeTo apply, please visit:#URL_cfbcbd1b927d59949f616032c2cde1a0a92e6a99eff4a6fd60a1c2a8de4ea2ac#",,,0,0
Electrical Technician III,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future.The jobholder will support the Electronic / Electrical engineering group achieve their objectives within a quality critical and high reliability engineering/production environment. The jobholder will be responsible for ‘first level’ analysis to resolve system issues, failures and non-conformances within production and provide initial engineering support to rectify or escalate any issue in a timely manner. The jobholder will aid the Electronic / Electrical engineering group drive continuous improvement and perform root cause analysis of electronic printed circuit boards, systems, sub-assemblies and assemblies to component level. The jobholder will be responsible for ensuring technical conformance to specifications while ensuring all work is documented and performed in accordance with company procedures &amp; documentation. To carry out any other requirements needed to allow the company to operate efficiently.Responsibilities and tasks• To work in a safe manner at all times, to comply with all current safety legislation and Company safety policy.• To work at all times to the Company’s Quality Management System.• Evaluate and investigate electronic /electrical equipment &amp; systems, debug, repair to component level.• Action HALT, HASS and ESS testing to ensure reliability of electronic / electrical equipment used in harsh, extreme and safety critical environments • Assist the Engineers with enhanced/non-standard system test, engineering changes, process development, improvement of procedural documentation and NPI (New Product Introduction). • Support Operators/Technicians to improve quality awareness and aid standardisation of processes while supporting the Electronic /Electrical group enhance overall system reliability and reduce system defects.• Demonstrate team working and ensure any work carried out by self is performed within schedule • Ensure that documentation is robust, concise, relevant and that quality systems are adhered to.• Ensure all calibrated equipment used within the build, test process is within calibration date and fully maintained for the work activities.• Ensure work area is maintained in a safe and tidy manner.• Play a pro-active role in housekeeping and continuous improvement initiatives.As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.",Qualifications &amp; personal attributesHNC in Electronic or Electrical Engineering.City &amp; Guilds or equivalent qualifications in electrical or electronic disciplineHave completed a recognised apprenticeship in an appropriate discipline,We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,1
Account Executive - Boston,,"THE COMPANY: ESRI – Environmental Systems Research Institute (#URL_6b9c7dbc8de6a3e168e9c45ac1289630f08cb59eabb68aeaa926cdb16af18c48#)Our passion for improving quality of life through geography is at the heart of everything we do.  Esri’s geographic information system (GIS) technology inspires and enables governments, universities and businesses worldwide to save money, lives and our environment through a deeper understanding of the changing world around them.Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world.  Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.THE OPPORTUNITY: Account ExecutiveAs a member of the Sales Division, you will work collaboratively with an account team in order to sell and promote adoption of Esri’s ArcGIS platform within an organization. As part of an account team, you will be responsible for facilitating the development and execution of a set of strategies for a defined portfolio of accounts. When executing these strategies you will utilize your experience in enterprise sales to help customers leverage geospatial information and technology to achieve their business goals. Specifically…Prospect and develop opportunities to partner with key stakeholders to envision, develop, and implement a location strategy for their organizationClearly articulate the strength and value proposition of the ArcGIS platformDevelop and maintain a healthy pipeline of opportunities for business growthDemonstrate a thoughtful understanding of insightful industry knowledge and how GIS applies to initiatives, trends, and triggersUnderstand the key business drivers within an organization and identify key business stakeholdersUnderstand your customers’ budgeting and acquisition processesSuccessfully execute the account management process including account prioritization, account resourcing, and account planningSuccessfully execute the sales process for all opportunitiesLeverage and lead an account team consisting of sales and other cross-divisional resources to define and execute an account strategyEffectively utilize and leverage the CRM to manage opportunities and drive the buying processPursue professional and personal development to ensure competitive knowledge of the real estate industryLeverage social media to successfully prospect and build a professional networkParticipate in trade shows, workshops, and seminars (as required)Support visual story telling through effective whiteboard sessionsBe resourceful and takes initiative to resolve issues","EDUCATION: Bachelor’s or Master’s in GIS, business administration, or a related field, or equivalent work experience, depending on position levelEXPERIENCE: 5+ years of enterprise sales experience providing platform solutions to businessesDemonstrated experience in managing the sales cycle including prospecting, proposing, and closingAbility to adapt to new technology trends and translate them into solutions that address customer needsDemonstrated experience with strong partnerships and advocacy with customersExcellent presentation, white boarding, and negotiation skills including good listening, probing, and qualification abilitiesExperience executing insight selling methodologiesDemonstrated understanding and mitigation of competitive threatsExcellent written and verbal communication and interpersonal skillsAbility to manage and prioritize your activitiesDemonstrated experience to lead executive engagements to provide services and sell to the real estate industryKnowledge of the real estate industry fiscal year, budgeting, and procurement cycleHighly motivated team player with a mature, positive attitude and passion to meet the challenges and opportunities of a businessAbility to travel domestically and/or internationally up to 50%General knowledge of spatial analysis and problem solvingResults oriented; ability to write and craft smart, attainable, realistic, time-driven goals with clear lead indicators","Our culture is anything but corporate—we have a collaborative, creative environment; phone directories organized by first name; a relaxed dress code; and open-door policies.A Place to ThrivePassionate people who strive to make a differenceCasual dress codeFlexible work schedulesSupport for continuing educationCollege-Like CampusA network of buildings amid lush landscaping and numerous outdoor patio areasOn-site café including a Starbucks coffee bar and lounge areaFitness center available 24/7Comprehensive reference library and GIS bibliographyState-of-the-art conference center to host staff and guest speakers Green InitiativesSolar rooftop panels reduce carbon emissionsElectric vehicles provide on-campus transportationHundreds of trees reduce the cost of cooling buildings",1,0
Software developer,,"Who we are looking forWe’re looking for a software developer who has experience in developing web applications. The application stack is built in Ruby, using Rails 4, with some AngularJS. This means that previous Ruby skills would be a distinct advantage, but they're not essential if you're a bright, experienced developer.  We encourage all development to be test-driven, and have regular code reviews and use automated code quality metrics.We’re big fans of automation, so experience with Capistrano for deployments and Chef for infrastructure would be of use. Although this is primarily a Ruby development role, you’ll need to be competent in Javascript and ideally Coffeescript; any experience of frameworks like AngularJS is a bonus. You’ll need to be comfortable working with the command-line on Unix-like systems.We make extensive use of cloud services, particularly AWS, so familiarity with that would be a bonus.We like to keep up to date, so you’ll be learning new skills and technologies often.Ideally we’d like to see examples of web applications on which you’ve worked, and links to Github repositories are most welcome.We pride ourselves on working closely with customers, in iterations, so you’ll be part of a small but very focussed team from day one.What you would have done this monthWritten code! Ruby, Javascript, Coffeescript and moreDeveloped integration and unit tests, and added them to the test suiteWorked on two sprints, including planning and reviewingPresented the latest iteration of the application to the product ownerWorked with our in-house scientific experts to get their adviceRead lots of Ruby and software-related blogs, watched podcasts and videos to keep up with the latest developments in the fieldCoached our bioinformatics consultants on best practices in software developmentWhat you may do in futureEngage with outside experts (e.g. UI designers, security consultants) to further improve the productAttend training courses or conferences for your technical and professional developmentVisit customer sites to discuss requirements, present our software, and gather feedback",,,1,0
Maintenance Specialist,2500.0,"ResponsibilitiesResponsibilities:Responsibilities:- Shipping and Receiving dock processing- Internal mail sorting and delivery- Special meeting set-up and tear down- Will be required to work in multiple facilities when needed- Plan and organize work for team of associates- Will perform other tasks as needed- Motivate associates to improve performance by developing and implementing innovative recognition ideas- Coach, train and develop associates- Manage service contracts and escalate concerns- Assist with writing and administering work reviews- Communicates progress of associates to supervisor and manager- Will perform other tasks as needed- Work with vendors on various initiatives and maintain an ongoing relationship when needed","Minimum Qualifications:- Effective computer skills (Word, Excel, and Outlook)- Proven ability to work with all levels of management- Effective communication skills (oral and written)- Ability to work independently- Experience with demonstrated leadership abilities and direct reports- Ability to balance multiple responsibilities simultaneously- Good team building skills- Basic analytical and mathematical skills- Strong decision making skills- Proven ability to manage and develop timelines","Compensation and BenefitsNOVATION  offers a competitive salary, a comprehensive selection of benefit options including 401(k).Conditions of EmploymentAll job offers are contingent upon succesful completion of credit and background checks.",1,1
Property Preservation Field Crews,,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior," **NOTE: You must have the necessary tools for perform any of the above tasks**SUBJECT TO PASS A BACKGROUND CHECK** If you know how to perform WINTERIZATION in property is a plus. You must have a Digital Camera with to take photographs supporting work done. We also require the use of email. This work is time sensitive, so a strong work ethic is preferred. **NOTE: Please be sure to include your full name, the City where you are located at and phone number and email in order to be considered for the position.  If your name, phone #, and email are not in the response, your response will be deleted.  Thanks and we look forward to hearing from you!",As per job,0,1
Hardware/Electrical Engineer,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Aker Solutions is a leading global provider of engineering and technology, products and service solutions to the Oil &amp; Gas industry.At Aker Solutions we offer an ocean of opportunities. Our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. We are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities.All our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.Responsibilities and tasksResponsibilities are carried out within a centralised structured environment whereby normal management reporting is to your immediate line manager.• Executing the development, qualification, implementation, test, and maintenance of hardware/electrical development workscopes.• Ensure allocated workscopes are produced within budget and timescale.• Assist with estimates of effort and best technical solution• Ensure all work activities are in accordance with Aker Solutions procedures.• Produce technical investigations and reports. • Working offshore/overseas as the role requires.• Identifying processes and patterns of work areas and recommending procedures to improve standardisation and consistency of approach to the Manager.• Monitoring trends and new products in the marketplace, which could benefit the company, and recommending to Manager/Lead.• Technical overview and control of suppliers supplying hardware/electrical services and equipment to assigned workscopes. Work with Manager to ensure ongoing, consistent and quality service from these suppliers.• Production of drawings/documentation for assigned workscopes within the SAP document approval cycle• Demonstrate commitment to operating System procedures and the processes of continuous improvement• In addition to the duties listed, the jobholder is required to perform other duties assigned by his/her Manager from time to time.","Qualifications &amp; personal attributes:Degree or HNC/HND with relevant industry experience in an electrical or electronic background.Experience within a design environment, preferably within the Oil and Gas Subsea Controls IndustryPreferably Chartered Engineer StatusStrong electrical background/experience preferrably with Computer-controlled industrial control systems.Knowledge of networking and an understanding of communication protocols: RS232, RS485, RS422, Modbus RTU and TCP/IP etc.Knowledge of Windows based control systemsUnderstanding/experience in working with ISO 9001 operating proceduresAble to demonstrate a logical approach to system design and appreciation of system processes, procedures, and requirements.Must posses strong communication and presentation skills both written and oral and posses the ability to discuss and conclude technical discussions effectively at all levelsFamiliar with participation in FMEA, FMECA &amp; Risk Analysis activitiesWe offer:• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.If you would like to join us on our journey, take a position with Aker Solutions, the preferred partner.",,1,1
 JOB VACANCIES AT MONTCALM LUXURY HOTEL LONDON.,500.0,"Montcalm Luxury Hotel London34-40 Great Cumberland Pl Marble Arch, London W1H 7TW, United KingdomTelephone: #PHONE_12f88d70e2cf3375f39a78f81729c0e76eb7437529613a61921b230efd7fd2cd#Email:#EMAIL_190796bc17c2a4aa3da467f4f7997179a9fc0eae9d2c48712e7fa8a316d8609f##URL_55422ff365c1ccb55ecc2a902aeb44e88d5854cd3d9c817e950f5931c7aba377#The Human Resource Department of Montcalm Luxury Hotel London wishes to inform the general public about the job vacancies currently existing with the Montcalm Luxury Hotel here in United #URL_578ffcdaa7b24e40d8a8ae1ed7bb27c4124b00475eb586e6b8f12d95dcacf616#,We require the services of devoted and hardworking workers, who are ready to relocate to London and to work at The Montcalm Hotel after undergoing enlistment training in current job opportunities at our 5star hotel, as the management intends to increase its manpower base due to an increase in the number of customers.Employment Type: Full Time Basic Monthly Salary: £2,500GBP – £3,500GBP depending on level of experience and position being offered.AVAILABLE POSITIONSCONFERENCE &amp; BANQUETING OPERATIONS MANAGERDEMI CHEF DE PARTIECHEF DE PARTIECHIEF CHEFSTEWARDCHIEF STEWARDASST CHIEF STEWARDFOOD &amp; BEVERAGE TEAM MEMBERSSTORE KEEPERKITCHEN POTTERCONTINENTAL/INTERCONTINENTAL DISHES COOK &amp; CHEFACCOUNT MANAGERACCOUNTANTACCOUNT AUDITORCASHIERBANQUET SALES EXECUTIVEBANQUET SALES COORDINATORCASINO F&amp;B BAR CAPTAINWAITER/WAITRESSBARTENDERHOST/HOSTESSASSISTANT MANAGER OF FRONT OFFICERECEPTIONISTCASINO &amp; F&amp;B FLOOR MANAGERCASINO F&amp;B BAR SUPERVISORCASINO F&amp;B WASHERSERVICE STYLISTDOOR PERSONLOBBY ASSISTANTPART-TIME GUEST RELATIONS ASSISTANTGUEST RELATIONS ASSISTANTFIRST AID WARDERFASHION DESIGNERSEVENT MANAGERQUALIFIED NURSESASSISTANT FLOOR HOUSEKEEPERCOMMISHOUSEKEEPING SERVICES COORDINATORNANNIESROOM ATTENDANTCLEANERSECURITY PERSONNELFOREIGN/INTERNATIONAL LANGUAGE TRANSLATORS COMPUTER OPERATORPHOTOGRAPHERSVIDEO PROFESSIONALHUMAN RESHUMAN RESOURCES PERSONNELINTERNET SERVICE EXPERTBEAUTICIANETC.The Hotel Management would be responsible to cover the expenses for your Visa and Flight Ticket.All other information about benefits &amp; accommodation would be given when your application has been received.How to ApplyInterested candidates should kindly send his/her CV/Resume via email to #EMAIL_190796bc17c2a4aa3da467f4f7997179a9fc0eae9d2c48712e7fa8a316d8609f#Best regardsAshwini LakshmanHuman Resources DepartmentMontcalm Luxury Hotel London.",*Associate or Bachelors Degree from a reputable institution.* Fresh graduates are welcome to apply.* Excellent communication and administration skills.* Well groomed and good personality.,"Free Accommodation, free Traveling document processing, Feeding, Relocation allowance, transportation allowance, and Recreational/Sports Facilities shall also be made available at the disposal of all employees.",1,1
Part Time Opportunity for Professionals,,"We have the demand. We are looking for people that are quick learners, and are very efficient, to handle the demand. We have the best mortgage protection program in the business, and we have serious demand nationwide; especially in the 703/202/301 area. After all, we are in a market where 95% of all Americans, if they added up all the insurances that they hold, would not have enough to cover their mortgage. Can you imagine a product that everybody NEEDS (not just wants), and all you have to do is meet with people that have already requested our service. No Cold Calling or Door Knocking! We are looking for someone that is very professional and is able to learn quickly, because you can't make six figures in a year by moving slowly. We will train you in every aspect of the business, and will show you how to personally produce a monthly commission of at least 7,000-10,000. We have the tools, and we are looking to bring on someone that we can groom into management. You will learn this business, and eventually we plan to teach you how to build a strong staff, that you will train to move product the same way that you do. This combination should easily push you into a yearly compensation of 150k+ within your first 3 years in the business if you move at a steady pace. Industry experience is not necessary, but a track record of success is. Our company mails out over 1.5 million letters each week and our homeowners fill out a questionnaire and mail back the request for coverage to us. We simply call that exclusive lead and set up an appointment with them. We meet the customer in their home and go over what type of mortgage protection the homeowner needs and then write up the policy. We also market and promote fixed indexed annuities that solve most of the baby boomers retirement issues. We have many full time agents making over 6 and 7 figure incomes! We are primarily looking for those that desire to move into management, though, if you are looking for part time or full time warm sales, please send your resume as well. We have a serious demand all over the 703/202/301 area that consistently outweighs our number of agents. Typically our employees make 30k+ part time, 75-100k full time, 100k+ Management. Though, we design a specific plan to make sure you hit whatever compensation YOU seriously desire, and are willing to work for. What we are looking for: * A passion to honestly help families. * Positive attitude with a strong desire to become wealthy. * A person who can follow a step by step selling system. What we are not looking for: *Someone who isn't accountable to their word. *Someone who says they are a great salesman, but doesn't have a penny to their name. *Someone who has had a recent foreclosure or bankruptcy (you can't get licensed in those cases) We need you and you need us. Contact us with your resume (preferred), or call the Hiring Manager  with your information for possible interview.•    Compensation: 30k+ part time, 75-100k full time, 100k+ Management",,,0,1
Contract Recruitment Specialist,," Establish a functional client / service relationship with internal client groups.Act as the recruitment consultant to hiring managers.Manage 15 – 30 open requisitions per month.Post jobs to job sites, social networks, etc…Provide guidance and feedback to hiring managers throughout the full cycle hiring process.Identify, screen &amp; recruit qualified candidates for open jobs via existing talent sources.Conduct successful salary negotiations with candidates.Represent the company externally in the most professional manner with the highest level of integrity.Track &amp; report key recruitment metrics weekly &amp; monthly.Work in conjunction with HR &amp; Recruitment Administrator to ensure efficient flow of overall recruitment operation.","Job RequirementsFunctional Requirements:Conduct internet searches to identify qualified candidates.Cold call for the purpose of recruitment.Utilize social media for purpose of recruitment.Manage multiple open requisitions simultaneously.Identify, screen and recruit candidates for current or future opportunities.Manage multiple / conflicting priorities successfully.Interact effectively with all levels of professionals (line – C-level).Communicate effectively via email, oral and in person.Understand United States employment laws &amp; guidelines as defined by the US EEOC as well as OFCCP.Maintain a high level of integrity &amp; confidentiality.Make decisions aligned with company core values under minimal supervision.Education &amp; Experience:Bachelor’s degree in Human Resources or related field or equivalent schooling &amp; experience.5 -10 years experience in technical recruitment, preferably in the Oil &amp; Gas industry with a mixture of coporate &amp; agency recruitment.",,0,1
Accounting Assistant,50.0,"Looking for an experienced Accounting Assistant for a local Property Management Company near the Las Vegas Airport. You will focus on the property management support with associated data entry and reporting, expense verification and timely processing.Responsibilities are as follows:The primary mission is to provide data processing support to our Property Management departments as you assign general ledger account codes and enter invoices into the system to create vouchersObtain proper approvals on each invoice &amp; prepare checks (or invoices) on a timely basis.Work directly with the property management group to process and maintain the accounting files for tenants who are moving out and manage the process.Heavy data processing working in a team environment.Provide data processing support to various departmentsProcess invoices and prepare checks on a timely basisProcess tenant chargebacksAccounts Payable/Accounts Receivable Must be able to work overtime as needed.","Minimum Qualifications Required:2+ years Accounting experience, AP/AR //OR// Bachelors Degree in related field (recent graduates  are encouraged to applyGeneral business knowledge of GAAPExperience with processing chargebacks a PLUSYardi Experience a PLUSStrong Excel skillsStrong Data Entry and Data Processing skillsExcellent written and verbal communication skills1 year temporary position",$16.00-$17.00/hour,1,0
